LAN IP Address,Plant Area,Network Type,Device,Comment,Fix license,Full IP
10.12.1.195,Refinery,PLCs & Control Equipment,Elpro 945UE,Ship Unloader Wireless Bridge (Unloader),,010.012.001.195
10.12.1.196,Refinery,PLCs & Control Equipment,Elpro 945UE,Ship Unloader Wireless Bridge (PMR),,010.012.001.196
10.12.1.197,Refinery,PLCs & Control Equipment,RFMBPE3,PRM MB+/Ethernet Gateway (RF2s MBEII),,010.012.001.197
10.12.1.198,Refinery,PLCs & Control Equipment,RFMBPE2,PMR MB+/Ethernet Gateway (RF1s MBEII),,010.012.001.198
10.12.1.199,Refinery,PLCs & Control Equipment,PMREGX1,PMR EGX Gateway,,010.012.001.199
10.12.1.201,Kilns/KDR,PLCs & Control Equipment,,,,010.012.001.201
10.12.1.202,Kilns/KDR,PLCs & Control Equipment,,,,010.012.001.202
10.12.1.203,Kilns/KDR,PLCs & Control Equipment,,,,010.012.001.203
10.12.1.204,Kilns/KDR,PLCs & Control Equipment,,,,010.012.001.204
10.12.1.205,Kilns/KDR,PLCs & Control Equipment,,,,010.012.001.205
10.12.1.206,Kilns/KDR,PLCs & Control Equipment,,,,010.012.001.206
10.12.1.207,Kilns/KDR,PLCs & Control Equipment,,,,010.012.001.207
10.12.1.208,Kilns/KDR,PLCs & Control Equipment,,,,010.012.001.208
10.12.1.209,Kilns/KDR,PLCs & Control Equipment,,,,010.012.001.209
10.12.1.210,Kilns/KDR,PLCs & Control Equipment,,,,010.012.001.210
10.12.1.211,Kilns/KDR,PLCs & Control Equipment,,,,010.012.001.211
10.12.1.212,Kilns/KDR,PLCs & Control Equipment,,,,010.012.001.212
10.12.1.213,Kilns/KDR,PLCs & Control Equipment,,,,010.012.001.213
10.12.1.214,Kilns/KDR,PLCs & Control Equipment,,,,010.012.001.214
10.12.1.215,Kilns/KDR,PLCs & Control Equipment,,,,010.012.001.215
10.12.1.216,Kilns/KDR,PLCs & Control Equipment,,,,010.012.001.216
10.12.1.217,Kilns/KDR,PLCs & Control Equipment,,,,010.012.001.217
10.12.1.218,Kilns/KDR,PLCs & Control Equipment,,,,010.012.001.218
10.12.1.219,Kilns/KDR,PLCs & Control Equipment,KDRMBPE1,KDRWW MB+/Ethernet Gateway (KILNs MBEI),,010.012.001.219
10.12.1.221,EAF Dust Washing,PLCs & Control Equipment,EAFPLC,EAF Process PLC,,010.012.001.221
10.12.1.222,EAF Dust Washing,PLCs & Control Equipment,,,,010.012.001.222
10.12.1.223,EAF Dust Washing,PLCs & Control Equipment,,,,010.012.001.223
10.12.1.224,EAF Dust Washing,PLCs & Control Equipment,,,,010.012.001.224
10.12.1.225,EAF Dust Washing,PLCs & Control Equipment,,,,010.012.001.225
10.12.1.226,EAF Dust Washing,PLCs & Control Equipment,,,,010.012.001.226
10.12.1.227,EAF Dust Washing,PLCs & Control Equipment,,,,010.012.001.227
10.12.1.228,EAF Dust Washing,PLCs & Control Equipment,,,,010.012.001.228
10.12.1.229,EAF Dust Washing,PLCs & Control Equipment,,,,010.012.001.229
10.12.1.230,EAF Dust Washing,PLCs & Control Equipment,,,,010.012.001.230
10.12.1.231,EAF Dust Washing,PLCs & Control Equipment,,,,010.012.001.231
10.12.1.232,EAF Dust Washing,PLCs & Control Equipment,,,,010.012.001.232
10.12.1.233,EAF Dust Washing,PLCs & Control Equipment,,,,010.012.001.233
10.12.1.234,EAF Dust Washing,PLCs & Control Equipment,,,,010.012.001.234
10.12.1.235,EAF Dust Washing,PLCs & Control Equipment,,,,010.012.001.235
10.12.1.236,EAF Dust Washing,PLCs & Control Equipment,,,,010.012.001.236
10.12.1.237,EAF Dust Washing,PLCs & Control Equipment,,,,010.012.001.237
10.12.1.238,EAF Dust Washing,PLCs & Control Equipment,,,,010.012.001.238
10.12.1.239,EAF Dust Washing,PLCs & Control Equipment,,,,010.012.001.239
10.12.1.240,EAF Dust Washing,PLCs & Control Equipment,,EAF Modbus/Ethernet Bridge (EGX100),,010.012.001.240
10.12.1.241,Other ProcN Devices,PLCs & Control Equipment,PPPCHIST1,,,010.012.001.241
10.12.1.242,Other ProcN Devices,PLCs & Control Equipment,PPPCHIST2,,,010.012.001.242
10.12.1.243,Other ProcN Devices,PLCs & Control Equipment,PPPCWEB,,,010.012.001.243
10.12.1.244,Other ProcN Devices,PLCs & Control Equipment,,Ethernet Cisco Switch (Spare in E&I),,010.012.001.244
10.12.1.245,Other ProcN Devices,PLCs & Control Equipment,,,,010.012.001.245
10.12.1.246,Other ProcN Devices,PLCs & Control Equipment,,,,010.012.001.246
10.12.1.247,Other ProcN Devices,PLCs & Control Equipment,,,,010.012.001.247
10.12.1.248,Other ProcN Devices,PLCs & Control Equipment,,,,010.012.001.248
10.12.1.249,Other ProcN Devices,PLCs & Control Equipment,,,,010.012.001.249
10.12.1.250,Other ProcN Devices,PLCs & Control Equipment,,,,010.012.001.250
10.12.1.251,Other ProcN Devices,PLCs & Control Equipment,,,,010.012.001.251
10.12.1.252,Other ProcN Devices,PLCs & Control Equipment,,PETS Water Analyser,,010.012.001.252
10.12.1.253,Other ProcN Devices,PLCs & Control Equipment,,,,010.012.001.253
10.12.1.254,Other ProcN Devices,PLCs & Control Equipment,,,,010.012.001.254
10.12.1.255,Other ProcN Devices,PLCs & Control Equipment,,,,010.012.001.255
10.12.2.1,Spare Plant Area,iFIX Nodes & Ethernet Switches,PPPCIFIX1,New windows7 Spare PC,,010.012.002.001
10.12.2.2,Spare Plant Area,iFIX Nodes & Ethernet Switches,PPPCIFIX2,New windows7 Spare PC,,010.012.002.002
10.12.2.3,Spare Plant Area,iFIX Nodes & Ethernet Switches,PPPCIFIX3,New windows7 Spare PC,,010.012.002.003
10.12.2.4,Spare Plant Area,iFIX Nodes & Ethernet Switches,WAN Testing,Given to Jhonny Guzman for WAN testing,,010.012.002.004
10.12.2.5,Spare Plant Area,iFIX Nodes & Ethernet Switches,WAN Testing,Given to Jhonny Guzman for WAN testing,,010.012.002.005
10.12.2.6,Spare Plant Area,iFIX Nodes & Ethernet Switches,,,,010.012.002.006
10.12.2.7,Spare Plant Area,iFIX Nodes & Ethernet Switches,,,,010.012.002.007
10.12.2.8,Spare Plant Area,iFIX Nodes & Ethernet Switches,,,,010.012.002.008
10.12.2.9,Spare Plant Area,iFIX Nodes & Ethernet Switches,,,,010.012.002.009
10.12.2.10,Spare Plant Area,iFIX Nodes & Ethernet Switches,,,,010.012.002.010
10.12.2.11,Spare Plant Area,iFIX Nodes & Ethernet Switches,,,,010.012.002.011
10.12.2.12,Spare Plant Area,iFIX Nodes & Ethernet Switches,,,,010.012.002.012
10.12.2.13,Spare Plant Area,iFIX Nodes & Ethernet Switches,,,,010.012.002.013
10.12.2.14,Spare Plant Area,iFIX Nodes & Ethernet Switches,,,,010.012.002.014
10.12.2.15,Spare Plant Area,iFIX Nodes & Ethernet Switches,,,,010.012.002.015
10.12.2.16,Spare Plant Area,iFIX Nodes & Ethernet Switches,,,,010.012.002.016
10.12.2.17,Spare Plant Area,iFIX Nodes & Ethernet Switches,,,,010.012.002.017
10.12.2.18,Spare Plant Area,iFIX Nodes & Ethernet Switches,,,,010.012.002.018
10.12.2.19,Spare Plant Area,iFIX Nodes & Ethernet Switches,,,,010.012.002.019
10.12.2.20,Spare Plant Area,iFIX Nodes & Ethernet Switches,,,,010.012.002.020
10.12.3.1,Spare Plant Area,PLCs & Control Equipment,,,,010.012.003.001
10.12.3.2,Spare Plant Area,PLCs & Control Equipment,,,,010.012.003.002
10.12.3.3,Spare Plant Area,PLCs & Control Equipment,,,,010.012.003.003
10.12.3.4,Spare Plant Area,PLCs & Control Equipment,,,,010.012.003.004
10.12.3.5,Spare Plant Area,PLCs & Control Equipment,,,,010.012.003.005
10.12.3.6,Spare Plant Area,PLCs & Control Equipment,,,,010.012.003.006
10.12.3.7,Spare Plant Area,PLCs & Control Equipment,,,,010.012.003.007
10.12.3.8,Spare Plant Area,PLCs & Control Equipment,,,,010.012.003.008
10.12.3.9,Spare Plant Area,PLCs & Control Equipment,,,,010.012.003.009
10.12.3.10,Spare Plant Area,PLCs & Control Equipment,,,,010.012.003.010
10.12.3.11,Spare Plant Area,PLCs & Control Equipment,,,,010.012.003.011
10.12.3.12,Spare Plant Area,PLCs & Control Equipment,,,,010.012.003.012
10.12.3.13,Spare Plant Area,PLCs & Control Equipment,,,,010.012.003.013
10.12.3.14,Spare Plant Area,PLCs & Control Equipment,,,,010.012.003.014
10.12.3.15,Spare Plant Area,PLCs & Control Equipment,,,,010.012.003.015
10.12.3.16,Spare Plant Area,PLCs & Control Equipment,,,,010.012.003.016
10.12.3.17,Spare Plant Area,PLCs & Control Equipment,,,,010.012.003.017
10.12.3.18,Spare Plant Area,PLCs & Control Equipment,,,,010.012.003.018
10.12.3.19,Spare Plant Area,PLCs & Control Equipment,,,,010.012.003.019
10.12.3.20,Spare Plant Area,PLCs & Control Equipment,,,,010.012.003.020
10.12.11.1,Fume Control,Motor Control Equipment,FC-F3A,F3A VSD,,010.012.011.001
10.12.11.2,Fume Control,Motor Control Equipment,FC-F3B,F3B VSD,,010.012.011.002
10.12.11.3,Fume Control,Motor Control Equipment,,,,010.012.011.003
10.12.11.4,Fume Control,Motor Control Equipment,,,,010.012.011.004
10.12.11.5,Fume Control,Motor Control Equipment,,,,010.012.011.005
10.12.11.6,Fume Control,Motor Control Equipment,,,,010.012.011.006
10.12.11.7,Fume Control,Motor Control Equipment,,,,010.012.011.007
10.12.11.8,Fume Control,Motor Control Equipment,,,,010.012.011.008
10.12.11.9,Fume Control,Motor Control Equipment,,,,010.012.011.009
10.12.11.10,Fume Control,Motor Control Equipment,,,,010.012.011.010
10.12.11.11,Fume Control,Motor Control Equipment,,,,010.012.011.011
10.12.11.12,Fume Control,Motor Control Equipment,,,,010.012.011.012
10.12.11.13,Fume Control,Motor Control Equipment,,,,010.012.011.013
10.12.11.14,Fume Control,Motor Control Equipment,,,,010.012.011.014
10.12.11.15,Fume Control,Motor Control Equipment,,,,010.012.011.015
10.12.11.16,Fume Control,Motor Control Equipment,,,,010.012.011.016
10.12.11.17,Fume Control,Motor Control Equipment,,F3B EGX100 gateway (Power Meter),,010.012.011.017
10.12.11.18,Fume Control,Motor Control Equipment,,F3B Sepam,,010.012.011.018
10.12.11.19,Fume Control,Motor Control Equipment,,F3A EGX100 gateway (Power Meter),,010.012.011.019
10.12.11.20,Fume Control,Motor Control Equipment,,F3A Sepam,,010.012.011.020
10.12.12.1,Blast Furnace,Motor Control Equipment,,,,010.012.012.001
10.12.12.2,Blast Furnace,Motor Control Equipment,,,,010.012.012.002
10.12.12.3,Blast Furnace,Motor Control Equipment,,,,010.012.012.003
10.12.12.4,Blast Furnace,Motor Control Equipment,,,,010.012.012.004
10.12.12.5,Blast Furnace,Motor Control Equipment,,,,010.012.012.005
10.12.12.6,Blast Furnace,Motor Control Equipment,,,,010.012.012.006
10.12.12.7,Blast Furnace,Motor Control Equipment,,,,010.012.012.007
10.12.12.8,Blast Furnace,Motor Control Equipment,,,,010.012.012.008
10.12.12.9,Blast Furnace,Motor Control Equipment,,,,010.012.012.009
10.12.12.10,Blast Furnace,Motor Control Equipment,,,,010.012.012.010
10.12.12.11,Blast Furnace,Motor Control Equipment,,,,010.012.012.011
10.12.12.12,Blast Furnace,Motor Control Equipment,,,,010.012.012.012
10.12.12.13,Blast Furnace,Motor Control Equipment,,,,010.012.012.013
10.12.12.14,Blast Furnace,Motor Control Equipment,,,,010.012.012.014
10.12.12.15,Blast Furnace,Motor Control Equipment,,,,010.012.012.015
10.12.12.16,Blast Furnace,Motor Control Equipment,,,,010.012.012.016
10.12.12.17,Blast Furnace,Motor Control Equipment,,,,010.012.012.017
10.12.12.18,Blast Furnace,Motor Control Equipment,,,,010.012.012.018
10.12.12.19,Blast Furnace,Motor Control Equipment,,,,010.012.012.019
10.12.12.20,Blast Furnace,Motor Control Equipment,,,,010.012.012.020
10.12.13.1,Acid Plant,Motor Control Equipment,AP-M003,Altivar71 VSD - Sea Water Pump A,,010.012.013.001
10.12.13.2,Acid Plant,Motor Control Equipment,AP-M004,Altivar71 VSD - Sea Water Pump B,,010.012.013.002
10.12.13.3,Acid Plant,Motor Control Equipment,,,,010.012.013.003
10.12.13.4,Acid Plant,Motor Control Equipment,,,,010.012.013.004
10.12.13.5,Acid Plant,Motor Control Equipment,,,,010.012.013.005
10.12.13.6,Acid Plant,Motor Control Equipment,,,,010.012.013.006
10.12.13.7,Acid Plant,Motor Control Equipment,,,,010.012.013.007
10.12.13.8,Acid Plant,Motor Control Equipment,,,,010.012.013.008
10.12.13.9,Acid Plant,Motor Control Equipment,,,,010.012.013.009
10.12.13.10,Acid Plant,Motor Control Equipment,,,,010.012.013.010
10.12.13.11,Acid Plant,Motor Control Equipment,,,,010.012.013.011
10.12.13.12,Acid Plant,Motor Control Equipment,,,,010.012.013.012
10.12.13.13,Acid Plant,Motor Control Equipment,,,,010.012.013.013
10.12.13.14,Acid Plant,Motor Control Equipment,,,,010.012.013.014
10.12.13.15,Acid Plant,Motor Control Equipment,,,,010.012.013.015
10.12.13.16,Acid Plant,Motor Control Equipment,,,,010.012.013.016
10.12.13.17,Acid Plant,Motor Control Equipment,,,,010.012.013.017
10.12.13.18,Acid Plant,Motor Control Equipment,,,,010.012.013.018
10.12.13.19,Acid Plant,Motor Control Equipment,,,,010.012.013.019
10.12.13.20,Acid Plant,Motor Control Equipment,,,,010.012.013.020
10.12.13.20,Acid Plant,Motor Control Equipment,,,,010.012.013.020
10.12.14.1,PETs Plant,Motor Control Equipment,RV-A1001,Lime Plant Rotary Valve VSD,,010.012.014.001
10.12.14.2,PETs Plant,Motor Control Equipment,BM-A1002,Lime Plant Ball Mill Soft Starter,,010.012.014.002
10.12.14.3,PETs Plant,Motor Control Equipment,PU-A1003,Lime Plant Mill Discharge Pump VSD,,010.012.014.003
10.12.14.4,PETs Plant,Motor Control Equipment,,,,010.012.014.004
10.12.14.5,PETs Plant,Motor Control Equipment,,,,010.012.014.005
10.12.14.6,PETs Plant,Motor Control Equipment,,,,010.012.014.006
10.12.14.7,PETs Plant,Motor Control Equipment,,,,010.012.014.007
10.12.14.8,PETs Plant,Motor Control Equipment,,,,010.012.014.008
10.12.14.9,PETs Plant,Motor Control Equipment,,,,010.012.014.009
10.12.14.10,PETs Plant,Motor Control Equipment,,,,010.012.014.010
10.12.14.11,PETs Plant,Motor Control Equipment,,,,010.012.014.011
10.12.14.12,PETs Plant,Motor Control Equipment,,,,010.012.014.012
10.12.14.13,PETs Plant,Motor Control Equipment,,,,010.012.014.013
10.12.14.14,PETs Plant,Motor Control Equipment,,,,010.012.014.014
10.12.14.15,PETs Plant,Motor Control Equipment,,,,010.012.014.015
10.12.14.16,PETs Plant,Motor Control Equipment,,,,010.012.014.016
10.12.14.17,PETs Plant,Motor Control Equipment,,,,010.012.014.017
10.12.14.18,PETs Plant,Motor Control Equipment,,,,010.012.014.018
10.12.14.19,PETs Plant,Motor Control Equipment,,,,010.012.014.019
10.12.14.20,PETs Plant,Motor Control Equipment,,,,010.012.014.020
10.12.15.1,Zinc Plant,Motor Control Equipment,,,,010.012.015.001
10.12.15.2,Zinc Plant,Motor Control Equipment,,,,010.012.015.002
10.12.15.3,Zinc Plant,Motor Control Equipment,,,,010.012.015.003
10.12.15.4,Zinc Plant,Motor Control Equipment,,,,010.012.015.004
10.12.15.5,Zinc Plant,Motor Control Equipment,,,,010.012.015.005
10.12.15.6,Zinc Plant,Motor Control Equipment,,,,010.012.015.006
10.12.15.7,Zinc Plant,Motor Control Equipment,,,,010.012.015.007
10.12.15.8,Zinc Plant,Motor Control Equipment,,,,010.012.015.008
10.12.15.9,Zinc Plant,Motor Control Equipment,,,,010.012.015.009
10.12.15.10,Zinc Plant,Motor Control Equipment,,,,010.012.015.010
10.12.15.11,Zinc Plant,Motor Control Equipment,,,,010.012.015.011
10.12.15.12,Zinc Plant,Motor Control Equipment,,,,010.012.015.012
10.12.15.13,Zinc Plant,Motor Control Equipment,,,,010.012.015.013
10.12.15.14,Zinc Plant,Motor Control Equipment,,,,010.012.015.014
10.12.15.15,Zinc Plant,Motor Control Equipment,,,,010.012.015.015
10.12.15.16,Zinc Plant,Motor Control Equipment,,,,010.012.015.016
10.12.15.17,Zinc Plant,Motor Control Equipment,,,,010.012.015.017
10.12.15.18,Zinc Plant,Motor Control Equipment,,,,010.012.015.018
10.12.15.19,Zinc Plant,Motor Control Equipment,,,,010.012.015.019
10.12.15.20,Zinc Plant,Motor Control Equipment,,,,010.012.015.020
10.12.16.1,Power Plant,Motor Control Equipment,Blower #4,,,010.012.016.001
10.12.16.2,Power Plant,Motor Control Equipment,,,,010.012.016.002
10.12.16.3,Power Plant,Motor Control Equipment,,,,010.012.016.003
10.12.16.4,Power Plant,Motor Control Equipment,,,,010.012.016.004
10.12.16.5,Power Plant,Motor Control Equipment,,,,010.012.016.005
10.12.16.6,Power Plant,Motor Control Equipment,,,,010.012.016.006
10.12.16.7,Power Plant,Motor Control Equipment,,,,010.012.016.007
10.12.16.8,Power Plant,Motor Control Equipment,,,,010.012.016.008
10.12.16.9,Power Plant,Motor Control Equipment,,,,010.012.016.009
10.12.16.10,Power Plant,Motor Control Equipment,,,,010.012.016.010
10.12.16.11,Power Plant,Motor Control Equipment,,,,010.012.016.011
10.12.16.12,Power Plant,Motor Control Equipment,,,,010.012.016.012
10.12.16.13,Power Plant,Motor Control Equipment,,,,010.012.016.013
10.12.16.14,Power Plant,Motor Control Equipment,,,,010.012.016.014
10.12.16.15,Power Plant,Motor Control Equipment,,,,010.012.016.015
10.12.16.16,Power Plant,Motor Control Equipment,,,,010.012.016.016
10.12.16.17,Power Plant,Motor Control Equipment,,,,010.012.016.017
10.12.16.18,Power Plant,Motor Control Equipment,,,,010.012.016.018
10.12.16.19,Power Plant,Motor Control Equipment,,,,010.012.016.019
10.12.16.20,Power Plant,Motor Control Equipment,,,,010.012.016.020
10.12.17.1,Slag Fumer,Motor Control Equipment,SF-M369,Altivar71 VSD - Rotafeed 1 Feeder 1,,010.012.017.001
10.12.17.2,Slag Fumer,Motor Control Equipment,SF-M370,Altivar71 VSD - Rotafeed 1 Feeder 2,,010.012.017.002
10.12.17.3,Slag Fumer,Motor Control Equipment,SF-M371,Altivar71 VSD - Rotafeed 1 Feeder 3,,010.012.017.003
10.12.17.4,Slag Fumer,Motor Control Equipment,SF-M372,Altivar71 VSD - Rotafeed 1 Feeder 4,,010.012.017.004
10.12.17.5,Slag Fumer,Motor Control Equipment,SF-M373,Altivar71 VSD - Rotafeed 1 Feeder 5,,010.012.017.005
10.12.17.6,Slag Fumer,Motor Control Equipment,SF-M374,Altivar71 VSD - Rotafeed 1 Feeder 6,,010.012.017.006
10.12.17.7,Slag Fumer,Motor Control Equipment,SF-M375,Altivar71 VSD - Rotafeed 2 Feeder 1,,010.012.017.007
10.12.17.8,Slag Fumer,Motor Control Equipment,SF-M376,Altivar71 VSD - Rotafeed 2 Feeder 2,,010.012.017.008
10.12.17.9,Slag Fumer,Motor Control Equipment,SF-M377,Altivar71 VSD - Rotafeed 2 Feeder 3,,010.012.017.009
10.12.17.10,Slag Fumer,Motor Control Equipment,SF-M378,Altivar71 VSD - Rotafeed 2 Feeder 4,,010.012.017.010
10.12.17.11,Slag Fumer,Motor Control Equipment,SF-M379,Altivar71 VSD - Rotafeed 2 Feeder 5,,010.012.017.011
10.12.17.12,Slag Fumer,Motor Control Equipment,SF-M380,Altivar71 VSD - Rotafeed 2 Feeder 6,,010.012.017.012
10.12.17.13,Slag Fumer,Motor Control Equipment,,Stack Fan EER EGX-100 gateway,,010.012.017.013
10.12.17.14,Slag Fumer,Motor Control Equipment,,Stack Fan VSD,,010.012.017.014
10.12.17.15,Slag Fumer,Motor Control Equipment,,FWG Modbus/Ethernet Gateway Sepams/ABB,,010.012.017.015
10.12.17.16,Slag Fumer,Motor Control Equipment,SF-DDCSE1,VSD DDCS/Ethernet Converter,,010.012.017.016
10.12.17.17,Slag Fumer,Motor Control Equipment,SF-RS485E1,VSD RS485/Ethernet Gateway (EGX100),,010.012.017.017
10.12.17.18,Slag Fumer,Motor Control Equipment,SF-RS485E2,Sepam RS485/Ethernet Gateway (EGX100),,010.012.017.018
10.12.17.19,Slag Fumer,Motor Control Equipment,SF-RS485E3,HV Sepam RS485/Ethernet Gateway (EGX100),,010.012.017.019
10.12.17.20,Slag Fumer,Motor Control Equipment,SF-RS485E4,HV Sepam RS485/Ethernet Gateway (EGX100),,010.012.017.020
10.12.17.21,Slag Fumer,Motor Control Equipment,,FWG Modbus/Ethernet Gateway Power meters,,010.012.017.021
10.12.17.22,Slag Fumer,Motor Control Equipment,KBP-M396,Kilin Bagging Plant VSD-341 Conv,,010.012.017.022
10.12.17.23,Slag Fumer,Motor Control Equipment,M071-VSD,Coal Ball Mill VSD,,010.012.017.023
10.12.18.1,Copper Plant,Motor Control Equipment,CP-P13,Altivar 71 - 21A Repulp Reactor Agitator,,010.012.018.001
10.12.18.2,Copper Plant,Motor Control Equipment,,,,010.012.018.002
10.12.18.3,Copper Plant,Motor Control Equipment,,,,010.012.018.003
10.12.18.4,Copper Plant,Motor Control Equipment,,,,010.012.018.004
10.12.18.5,Copper Plant,Motor Control Equipment,,,,010.012.018.005
10.12.18.6,Copper Plant,Motor Control Equipment,,,,010.012.018.006
10.12.18.7,Copper Plant,Motor Control Equipment,,,,010.012.018.007
10.12.18.8,Copper Plant,Motor Control Equipment,,,,010.012.018.008
10.12.18.9,Copper Plant,Motor Control Equipment,,,,010.012.018.009
10.12.18.10,Copper Plant,Motor Control Equipment,,,,010.012.018.010
10.12.18.11,Copper Plant,Motor Control Equipment,,,,010.012.018.011
10.12.18.12,Copper Plant,Motor Control Equipment,,,,010.012.018.012
10.12.18.13,Copper Plant,Motor Control Equipment,,,,010.012.018.013
10.12.18.14,Copper Plant,Motor Control Equipment,,,,010.012.018.014
10.12.18.15,Copper Plant,Motor Control Equipment,,,,010.012.018.015
10.12.18.16,Copper Plant,Motor Control Equipment,,,,010.012.018.016
10.12.18.17,Copper Plant,Motor Control Equipment,,,,010.012.018.017
10.12.18.18,Copper Plant,Motor Control Equipment,,,,010.012.018.018
10.12.18.19,Copper Plant,Motor Control Equipment,,,,010.012.018.019
10.12.18.20,Copper Plant,Motor Control Equipment,,,,010.012.018.020
10.12.19.1,Sinter Plant,Motor Control Equipment,M2613,Diemme filter VSD ??????,,010.012.019.001
10.12.19.2,Sinter Plant,Motor Control Equipment,M2626,Diemme filter VSD ??????,,010.012.019.002
10.12.19.3,Sinter Plant,Motor Control Equipment,M2633,Diemme filter VSD ??????,,010.012.019.003
10.12.19.4,Sinter Plant,Motor Control Equipment,M2641,Diemme filter VSD ??????,,010.012.019.004
10.12.19.5,Sinter Plant,Motor Control Equipment,M2647,Diemme filter VSD ??????,,010.012.019.005
10.12.19.6,Sinter Plant,Motor Control Equipment,,,,010.012.019.006
10.12.19.7,Sinter Plant,Motor Control Equipment,,,,010.012.019.007
10.12.19.8,Sinter Plant,Motor Control Equipment,,,,010.012.019.008
10.12.19.9,Sinter Plant,Motor Control Equipment,,,,010.012.019.009
10.12.19.10,Sinter Plant,Motor Control Equipment,,,,010.012.019.010
10.12.19.11,Sinter Plant,Motor Control Equipment,,,,010.012.019.011
10.12.19.12,Sinter Plant,Motor Control Equipment,,,,010.012.019.012
10.12.19.13,Sinter Plant,Motor Control Equipment,,,,010.012.019.013
10.12.19.14,Sinter Plant,Motor Control Equipment,,,,010.012.019.014
10.12.19.15,Sinter Plant,Motor Control Equipment,,,,010.012.019.015
10.12.19.16,Sinter Plant,Motor Control Equipment,,,,010.012.019.016
10.12.19.17,Sinter Plant,Motor Control Equipment,,,,010.012.019.017
10.12.19.18,Sinter Plant,Motor Control Equipment,,,,010.012.019.018
10.12.19.19,Sinter Plant,Motor Control Equipment,,,,010.012.019.019
10.12.19.20,Sinter Plant,Motor Control Equipment,,,,010.012.019.020
10.12.20.1,Refinery,Motor Control Equipment,,VIR #1 Rotary Table VSD,,010.012.020.001
10.12.20.2,Refinery,Motor Control Equipment,,VIR #2 Rotary Table VSD,,010.012.020.002
10.12.20.3,Refinery,Motor Control Equipment,,,,010.012.020.003
10.12.20.4,Refinery,Motor Control Equipment,,,,010.012.020.004
10.12.20.5,Refinery,Motor Control Equipment,,,,010.012.020.005
10.12.20.6,Refinery,Motor Control Equipment,,,,010.012.020.006
10.12.20.7,Refinery,Motor Control Equipment,,,,010.012.020.007
10.12.20.8,Refinery,Motor Control Equipment,,,,010.012.020.008
10.12.20.9,Refinery,Motor Control Equipment,,,,010.012.020.009
10.12.20.10,Refinery,Motor Control Equipment,,,,010.012.020.010
10.12.20.11,Refinery,Motor Control Equipment,,,,010.012.020.011
10.12.20.12,Refinery,Motor Control Equipment,,,,010.012.020.012
10.12.20.13,Refinery,Motor Control Equipment,,,,010.012.020.013
10.12.20.14,Refinery,Motor Control Equipment,,,,010.012.020.014
10.12.20.15,Refinery,Motor Control Equipment,,,,010.012.020.015
10.12.20.16,Refinery,Motor Control Equipment,,,,010.012.020.016
10.12.20.17,Refinery,Motor Control Equipment,,,,010.012.020.017
10.12.20.18,Refinery,Motor Control Equipment,,,,010.012.020.018
10.12.20.19,Refinery,Motor Control Equipment,,,,010.012.020.019
10.12.20.20,Refinery,Motor Control Equipment,,,,010.012.020.020
10.12.21.1,Kilns/KDR,Motor Control Equipment,,,,010.012.021.001
10.12.21.2,Kilns/KDR,Motor Control Equipment,,,,010.012.021.002
10.12.21.3,Kilns/KDR,Motor Control Equipment,,,,010.012.021.003
10.12.21.4,Kilns/KDR,Motor Control Equipment,,,,010.012.021.004
10.12.21.5,Kilns/KDR,Motor Control Equipment,,,,010.012.021.005
10.12.21.6,Kilns/KDR,Motor Control Equipment,,,,010.012.021.006
10.12.21.7,Kilns/KDR,Motor Control Equipment,,,,010.012.021.007
10.12.21.8,Kilns/KDR,Motor Control Equipment,,,,010.012.021.008
10.12.21.9,Kilns/KDR,Motor Control Equipment,,,,010.012.021.009
10.12.21.10,Kilns/KDR,Motor Control Equipment,,,,010.012.021.010
10.12.21.11,Kilns/KDR,Motor Control Equipment,,,,010.012.021.011
10.12.21.12,Kilns/KDR,Motor Control Equipment,,,,010.012.021.012
10.12.21.13,Kilns/KDR,Motor Control Equipment,,,,010.012.021.013
10.12.21.14,Kilns/KDR,Motor Control Equipment,,,,010.012.021.014
10.12.21.15,Kilns/KDR,Motor Control Equipment,,,,010.012.021.015
10.12.21.16,Kilns/KDR,Motor Control Equipment,,,,010.012.021.016
10.12.21.17,Kilns/KDR,Motor Control Equipment,,,,010.012.021.017
10.12.21.18,Kilns/KDR,Motor Control Equipment,,,,010.012.021.018
10.12.21.19,Kilns/KDR,Motor Control Equipment,,,,010.012.021.019
10.12.21.20,Kilns/KDR,Motor Control Equipment,,,,010.012.021.020
10.12.22.1,EAF Dust Washing,Motor Control Equipment,EAF-MB003,Altivar71 VSD - EAF-MB003,,010.012.022.001
10.12.22.2,EAF Dust Washing,Motor Control Equipment,EAF-MB105,Altivar71 VSD - EAF-MB105,,010.012.022.002
10.12.22.3,EAF Dust Washing,Motor Control Equipment,EAF-MB106,Altivar71 VSD - EAF-MB106,,010.012.022.003
10.12.22.4,EAF Dust Washing,Motor Control Equipment,EAF-MB107,Altivar71 VSD - EAF-MB107,,010.012.022.004
10.12.22.5,EAF Dust Washing,Motor Control Equipment,EAF-MB108A,Altivar71 VSD - EAF-MB108A,,010.012.022.005
10.12.22.6,EAF Dust Washing,Motor Control Equipment,EAF-MB108B,Altivar71 VSD - EAF-MB108B,,010.012.022.006
10.12.22.7,EAF Dust Washing,Motor Control Equipment,EAF-MB110,Altivar71 VSD - EAF-MB110,,010.012.022.007
